name,year,selling_price,km_driven,owner,mileage,engine,max_power,seats,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,car_age,model,km_per_year,usage_intensity,specific_power,age_km_interaction,mileage_power_interaction,brand_Ford,brand_Honda,brand_Hyundai,brand_Maruti,brand_Nissan,brand_Other,brand_Renault,brand_Tata,brand_Toyota,brand_Volkswagen
Tata Tigor 2017-2020 XZ,2018,500000,35000,1,20.3,1199.0,83.81,5.0,0.0,0.0,1.0,1.0,0.0,1.0,7,Tigor,5000.0,1,0.06989991659716431,245000,1701.343,0,0,0,0,0,0,0,1,0,0
Maruti Baleno Delta 1.2,2016,575000,45000,1,21.4,1197.0,83.1,5.0,0.0,0.0,1.0,1.0,0.0,1.0,9,Baleno,5000.0,1,0.06942355889724311,405000,1778.3399999999997,0,0,0,1,0,0,0,0,0,0
Maruti Alto 800 LXI,2017,275000,28000,1,24.7,796.0,47.3,5.0,0.0,0.0,1.0,1.0,0.0,1.0,8,Alto,3500.0,1,0.059422110552763814,224000,1168.31,0,0,0,1,0,0,0,0,0,0
Maruti Wagon R LXI Minor,2009,220000,120000,1,18.9,1061.0,67.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,16,Wagon,7500.0,2,0.06314797360980208,1920000,1266.3,0,0,0,1,0,0,0,0,0,0
Maruti Vitara Brezza LDi Option,2017,670000,70000,1,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,0.0,1.0,8,Vitara,8750.0,2,0.07091346153846154,560000,2150.55,0,0,0,1,0,0,0,0,0,0
Fiat Palio 1.2 ELX,2003,70000,50000,2,19.5,1248.0,81.83,5.0,0.0,0.0,1.0,1.0,0.0,1.0,22,Palio,2272.7272727272725,1,0.06556891025641025,1100000,1595.685,0,0,0,0,0,1,0,0,0,0
Maruti Omni 8 Seater BSIV,2012,150000,35000,2,14.0,796.0,35.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,13,Omni,2692.3076923076924,1,0.04396984924623116,455000,490.0,0,0,0,1,0,0,0,0,0,0
Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,1,18.6,1197.0,81.83,5.0,0.0,0.0,1.0,1.0,0.0,1.0,7,i20,341.14285714285717,1,0.06836257309941521,16716,1522.038,0,0,1,0,0,0,0,0,0,0
Maruti Vitara Brezza LDi,2017,650000,16200,1,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,0.0,1.0,8,Vitara,2025.0,1,0.07091346153846154,129600,2150.55,0,0,0,1,0,0,0,0,0,0
Maruti Alto K10 VXI Airbag,2019,366000,15000,1,23.95,998.0,67.1,5.0,0.0,0.0,1.0,1.0,0.0,1.0,6,Alto,2500.0,1,0.06723446893787574,90000,1607.0449999999998,0,0,0,1,0,0,0,0,0,0
Datsun GO D,2016,150000,42000,1,20.63,1198.0,67.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,9,GO,4666.666666666667,1,0.055926544240400666,378000,1382.21,0,0,0,0,0,1,0,0,0,0
Honda City i VTEC VX,2018,925000,28900,1,17.8,1497.0,117.3,5.0,0.0,0.0,1.0,0.0,0.0,1.0,7,City,4128.571428571428,1,0.0783567134268537,202300,2087.94,0,1,0,0,0,0,0,0,0,0
Honda City V MT,2013,425000,86300,1,16.8,1497.0,116.3,5.0,0.0,0.0,1.0,0.0,0.0,1.0,12,City,7191.666666666667,2,0.07768871075484302,1035600,1953.8400000000001,0,1,0,0,0,0,0,0,0,0
Maruti Swift Dzire VXi AT,2018,675000,23300,1,18.5,1197.0,83.14,5.0,0.0,0.0,1.0,0.0,0.0,0.0,7,Swift,3328.5714285714284,1,0.06945697577276524,163100,1538.09,0,0,0,1,0,0,0,0,0,0
Maruti Vitara Brezza VDi,2018,819999,32600,1,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,0.0,0.0,1.0,7,Vitara,4657.142857142857,1,0.07091346153846154,228200,2150.55,0,0,0,1,0,0,0,0,0,0
Maruti Alto K10 VXI,2018,390000,10300,1,23.95,998.0,67.05,5.0,0.0,0.0,1.0,0.0,0.0,1.0,7,Alto,1471.4285714285713,1,0.06718436873747495,72100,1605.8474999999999,0,0,0,1,0,0,0,0,0,0
Honda Amaze S Diesel,2015,425000,49800,1,24.7,1498.0,98.63,5.0,1.0,0.0,0.0,0.0,0.0,1.0,10,Amaze,4980.0,1,0.0658411214953271,498000,2436.1609999999996,0,1,0,0,0,0,0,0,0,0
Honda City i DTEC S,2015,600000,54700,1,26.0,1498.0,98.6,5.0,1.0,0.0,0.0,0.0,0.0,1.0,10,City,5470.0,2,0.06582109479305741,547000,2563.6,0,1,0,0,0,0,0,0,0,0
Maruti Ciaz Zeta,2018,850000,64000,1,20.65,1462.0,103.25,5.0,0.0,0.0,1.0,0.0,0.0,1.0,7,Ciaz,9142.857142857143,2,0.07062243502051983,448000,2132.1124999999997,0,0,0,1,0,0,0,0,0,0
Honda Jazz VX Diesel,2015,525000,63000,1,27.3,1498.0,98.6,5.0,1.0,0.0,0.0,0.0,0.0,1.0,10,Jazz,6300.0,2,0.06582109479305741,630000,2691.7799999999997,0,1,0,0,0,0,0,0,0,0
Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,1,21.12,1248.0,88.8,5.0,1.0,0.0,0.0,1.0,0.0,1.0,14,Manza,8571.42857142857,2,0.07115384615384615,1680000,1875.4560000000001,0,0,0,0,0,0,0,1,0,0
Hyundai i10 Magna,2011,190000,110000,3,20.36,1197.0,78.9,5.0,0.0,0.0,1.0,1.0,0.0,1.0,14,i10,7857.142857142857,2,0.06591478696741855,1540000,1606.404,0,0,1,0,0,0,0,0,0,0
Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,1,21.27,1396.0,88.76,5.0,1.0,0.0,0.0,1.0,0.0,1.0,12,i20,5000.0,1,0.06358166189111748,720000,1887.9252000000001,0,0,1,0,0,0,0,0,0,0
Maruti Swift Dzire ZDI,2015,630000,147000,2,26.59,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,10,Swift,14700.0,2,0.05929487179487179,1470000,1967.66,0,0,0,1,0,0,0,0,0,0
Ford Figo 1.2P Titanium MT,2017,600000,25000,3,18.16,1196.0,86.8,5.0,0.0,0.0,1.0,1.0,0.0,1.0,8,Figo,3125.0,1,0.0725752508361204,200000,1576.288,1,0,0,0,0,0,0,0,0,0
Maruti Baleno Delta 1.2,2019,650000,30000,1,21.4,1197.0,83.1,5.0,0.0,0.0,1.0,1.0,0.0,1.0,6,Baleno,5000.0,1,0.06942355889724311,180000,1778.3399999999997,0,0,0,1,0,0,0,0,0,0
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,1,22.0,1498.0,108.495,5.0,1.0,0.0,0.0,1.0,0.0,1.0,9,Ameo,4444.444444444444,1,0.07242656875834447,360000,2386.8900000000003,0,0,0,0,0,0,0,0,0,1
Honda City i DTEC VX,2015,630000,135000,1,25.1,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,0.0,1.0,10,City,13500.0,2,0.06582109479305741,1350000,2474.86,0,1,0,0,0,0,0,0,0,0
Maruti Wagon R AMT VXI,2018,448000,30000,1,20.51,998.0,67.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,7,Wagon,4285.714285714285,1,0.06713426853707415,210000,1374.17,0,0,0,1,0,0,0,0,0,0
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,1,21.66,1498.0,108.62,5.0,1.0,0.0,0.0,1.0,0.0,1.0,8,Ameo,10000.0,2,0.07251001335113486,640000,2352.7092000000002,0,0,0,0,0,0,0,0,0,1
Maruti Vitara Brezza VDi,2016,745000,70000,1,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,0.0,1.0,9,Vitara,7777.777777777777,2,0.07091346153846154,630000,2150.55,0,0,0,1,0,0,0,0,0,0
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,1,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,6,Vitara,1641.6666666666667,1,0.07091346153846154,59100,2150.55,0,0,0,1,0,0,0,0,0,0
Hyundai i10 Magna,2011,235000,60000,2,20.36,1197.0,78.9,5.0,0.0,0.0,1.0,1.0,0.0,1.0,14,i10,4285.714285714285,1,0.06591478696741855,840000,1606.404,0,0,1,0,0,0,0,0,0,0
Maruti Swift VDI Deca,2016,630000,70000,1,25.2,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,9,Swift,7777.777777777777,2,0.05929487179487179,630000,1864.8,0,0,0,1,0,0,0,0,0,0
Maruti Swift Star VDI,2013,450000,120000,2,22.9,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,12,Swift,10000.0,2,0.05929487179487179,1440000,1694.6,0,0,0,1,0,0,0,0,0,0
Tata Indica DLS,2003,50000,70000,1,19.5,1248.0,81.83,5.0,1.0,0.0,0.0,1.0,0.0,1.0,22,Indica,3181.818181818182,1,0.06556891025641025,1540000,1595.685,0,0,0,0,0,0,0,1,0,0
Volkswagen Vento Diesel Highline,2013,450000,170000,1,20.54,1598.0,103.6,5.0,1.0,0.0,0.0,1.0,0.0,1.0,12,Vento,14166.666666666666,2,0.06483103879849812,2040000,2127.944,0,0,0,0,0,0,0,0,0,1
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,1,22.77,1498.0,98.59,5.0,1.0,0.0,0.0,1.0,0.0,1.0,10,EcoSport,9000.0,2,0.06581441922563418,900000,2244.8943,1,0,0,0,0,0,0,0,0,0
Maruti Celerio ZXI MT BSIV,2017,484999,10000,1,23.1,998.0,67.04,5.0,0.0,0.0,1.0,0.0,0.0,1.0,8,Celerio,1250.0,1,0.06717434869739479,80000,1548.6240000000003,0,0,0,1,0,0,0,0,0,0
Datsun GO A Petrol,2016,275000,49000,1,19.02,1198.0,67.05,5.0,0.0,0.0,1.0,0.0,0.0,1.0,9,GO,5444.444444444444,2,0.05596828046744574,441000,1275.291,0,0,0,0,0,1,0,0,0,0
Maruti Alto 800 VXI BSIV,2016,315000,32000,1,24.7,796.0,47.3,5.0,0.0,0.0,1.0,0.0,0.0,1.0,9,Alto,3555.5555555555557,1,0.059422110552763814,288000,1168.31,0,0,0,1,0,0,0,0,0,0
Maruti Alto 800 LXI BSIV,2016,275000,38000,1,24.7,796.0,47.3,5.0,0.0,0.0,1.0,0.0,0.0,1.0,9,Alto,4222.222222222223,1,0.059422110552763814,342000,1168.31,0,0,0,1,0,0,0,0,0,0
Maruti Swift VDI BSIV W ABS,2015,475000,78000,1,19.5,1248.0,81.83,5.0,1.0,0.0,0.0,0.0,0.0,1.0,10,Swift,7800.0,2,0.06556891025641025,780000,1595.685,0,0,0,1,0,0,0,0,0,0
Hyundai i10 Era 1.1,2012,290000,28000,1,19.81,1086.0,68.05,5.0,0.0,0.0,1.0,0.0,0.0,1.0,13,i10,2153.846153846154,1,0.06266114180478821,364000,1348.0704999999998,0,0,1,0,0,0,0,0,0,0
Maruti Omni 8 Seater BSIV,2017,280000,32000,1,14.0,796.0,35.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,8,Omni,4000.0,1,0.04396984924623116,256000,490.0,0,0,0,1,0,0,0,0,0,0
Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,1,16.47,1198.0,74.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,10,Polo,4200.0,1,0.06176961602671119,420000,1218.78,0,0,0,0,0,0,0,0,0,1
Hyundai i10 Magna 1.1L,2015,351000,45000,2,19.81,1086.0,68.05,5.0,0.0,0.0,1.0,0.0,0.0,1.0,10,i10,4500.0,1,0.06266114180478821,450000,1348.0704999999998,0,0,1,0,0,0,0,0,0,0
Volkswagen Vento Petrol Highline,2012,535000,12000,2,15.04,1598.0,103.6,5.0,0.0,0.0,1.0,0.0,0.0,1.0,13,Vento,923.0769230769231,1,0.06483103879849812,156000,1558.1439999999998,0,0,0,0,0,0,0,0,0,1
Maruti Zen Estilo LXI BSIII,2009,175000,55500,1,18.2,998.0,67.1,5.0,0.0,0.0,1.0,0.0,0.0,1.0,16,Zen,3468.75,1,0.06723446893787574,888000,1221.2199999999998,0,0,0,1,0,0,0,0,0,0
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,1,18.5,1197.0,82.85,5.0,0.0,0.0,1.0,0.0,0.0,1.0,12,i20,5125.0,2,0.06921470342522974,738000,1532.725,0,0,1,0,0,0,0,0,0,0
Maruti Swift Dzire LDI,2016,600000,150000,1,26.59,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,9,Swift,16666.666666666668,3,0.05929487179487179,1350000,1967.66,0,0,0,1,0,0,0,0,0,0
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,1,19.1,1197.0,82.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,9,Xcent,8000.0,2,0.06850459482038429,648000,1566.2,0,0,1,0,0,0,0,0,0,0
Maruti Alto LX BSIII,2008,120000,68000,3,19.7,796.0,46.3,5.0,0.0,0.0,1.0,0.0,0.0,1.0,17,Alto,4000.0,1,0.05816582914572864,1156000,912.1099999999999,0,0,0,1,0,0,0,0,0,0
Hyundai i20 1.4 Asta Option,2017,725000,110000,1,22.54,1396.0,88.73,5.0,1.0,0.0,0.0,1.0,0.0,1.0,8,i20,13750.0,2,0.06356017191977077,880000,1999.9742,0,0,1,0,0,0,0,0,0,0
Maruti Wagon R VXI,2009,185000,77000,2,21.79,998.0,67.05,5.0,0.0,0.0,1.0,0.0,0.0,1.0,16,Wagon,4812.5,1,0.06718436873747495,1232000,1461.0194999999999,0,0,0,1,0,0,0,0,0,0
Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,2,18.8,1248.0,90.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,15,Manza,6666.666666666667,2,0.07211538461538461,1500000,1692.0,0,0,0,0,0,0,0,1,0,0
Maruti Swift VXI,2019,615000,10000,1,21.21,1197.0,81.8,5.0,0.0,0.0,1.0,1.0,0.0,1.0,6,Swift,1666.6666666666667,1,0.0683375104427736,60000,1734.978,0,0,0,1,0,0,0,0,0,0
Maruti Baleno Zeta 1.2,2018,610000,35000,1,21.4,1197.0,83.1,5.0,0.0,0.0,1.0,1.0,0.0,1.0,7,Baleno,5000.0,1,0.06942355889724311,245000,1778.3399999999997,0,0,0,1,0,0,0,0,0,0
Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,2,19.0,1194.0,94.68,5.0,0.0,0.0,1.0,1.0,0.0,1.0,5,Freestyle,1000.0,1,0.0792964824120603,25000,1798.92,1,0,0,0,0,0,0,0,0,0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,1,15.8,1172.0,65.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,15,Indica,3200.0,1,0.05546075085324232,720000,1027.0,0,0,0,0,0,0,0,1,0,0
Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,1,19.09,1405.0,69.01,5.0,1.0,0.0,0.0,1.0,0.0,1.0,9,Indigo,11111.111111111111,2,0.04911743772241993,900000,1317.4009,0,0,0,0,0,0,0,1,0,0
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,1,21.9,1396.0,88.76,5.0,1.0,0.0,0.0,1.0,0.0,1.0,12,i20,5750.0,2,0.06358166189111748,828000,1943.844,0,0,1,0,0,0,0,0,0,0
Maruti Celerio VXI,2020,475000,13000,1,21.63,998.0,67.04,5.0,0.0,0.0,1.0,1.0,0.0,1.0,5,Celerio,2600.0,1,0.06717434869739479,65000,1450.0752,0,0,0,1,0,0,0,0,0,0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,1,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,0.0,1.0,9,Vitara,6666.666666666667,2,0.07091346153846154,540000,2150.55,0,0,0,1,0,0,0,0,0,0
Maruti Swift Dzire VXI,2017,595000,40000,1,20.85,1197.0,83.14,5.0,0.0,0.0,1.0,1.0,0.0,1.0,8,Swift,5000.0,1,0.06945697577276524,320000,1733.469,0,0,0,1,0,0,0,0,0,0
Maruti Wagon R VXI BS IV,2017,440000,35000,1,20.51,998.0,67.04,5.0,0.0,0.0,1.0,1.0,0.0,1.0,8,Wagon,4375.0,1,0.06717434869739479,280000,1374.9904000000001,0,0,0,1,0,0,0,0,0,0
Maruti Swift VDI BSIV,2010,300000,120000,2,19.5,1248.0,81.83,5.0,1.0,0.0,0.0,1.0,0.0,1.0,15,Swift,8000.0,2,0.06556891025641025,1800000,1595.685,0,0,0,1,0,0,0,0,0,0
Nissan Terrano XL 85 PS,2014,400000,70000,3,20.45,1461.0,83.8,5.0,1.0,0.0,0.0,1.0,0.0,1.0,11,Terrano,6363.636363636364,2,0.05735797399041752,770000,1713.7099999999998,0,0,0,0,1,0,0,0,0,0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,1,23.0,1498.0,98.96,5.0,1.0,0.0,0.0,1.0,0.0,1.0,8,EcoSport,9517.375,2,0.06606141522029373,609112,2276.08,1,0,0,0,0,0,0,0,0,0
Maruti Swift Dzire VDi,2012,370000,175000,4,19.3,1248.0,73.9,5.0,1.0,0.0,0.0,1.0,0.0,1.0,13,Swift,13461.538461538461,2,0.059214743589743594,2275000,1426.2700000000002,0,0,0,1,0,0,0,0,0,0
Renault KWID 1.0,2018,350000,25000,1,23.01,999.0,67.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,7,KWID,3571.4285714285716,1,0.06706706706706707,175000,1541.67,0,0,0,0,0,0,1,0,0,0
Maruti Celerio VXI,2015,360000,40000,2,23.1,998.0,67.04,5.0,0.0,0.0,1.0,1.0,0.0,1.0,10,Celerio,4000.0,1,0.06717434869739479,400000,1548.6240000000003,0,0,0,1,0,0,0,0,0,0
Maruti Alto LXi,2008,105000,65000,4,19.7,796.0,46.3,5.0,0.0,0.0,1.0,1.0,0.0,1.0,17,Alto,3823.529411764706,1,0.05816582914572864,1105000,912.1099999999999,0,0,0,1,0,0,0,0,0,0
Hyundai Santro Xing GLS,2009,135000,80000,2,17.92,1086.0,62.1,5.0,0.0,0.0,1.0,1.0,0.0,1.0,16,Santro,5000.0,1,0.057182320441988954,1280000,1112.832,0,0,1,0,0,0,0,0,0,0
Honda Amaze S i-VTEC,2019,690000,1303,1,17.8,1198.0,86.7,5.0,0.0,0.0,1.0,0.0,0.0,1.0,6,Amaze,217.16666666666666,1,0.07237061769616027,7818,1543.2600000000002,0,1,0,0,0,0,0,0,0,0
Honda City i-VTEC CVT VX,2017,795000,41000,1,18.0,1497.0,117.6,5.0,0.0,0.0,1.0,0.0,0.0,0.0,8,City,5125.0,2,0.0785571142284569,328000,2116.7999999999997,0,1,0,0,0,0,0,0,0,0
Maruti Ciaz ZDi,2015,535000,40000,1,26.21,1248.0,88.5,5.0,1.0,0.0,0.0,0.0,0.0,1.0,10,Ciaz,4000.0,1,0.07091346153846154,400000,2319.585,0,0,0,1,0,0,0,0,0,0
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,1,17.0,1198.0,108.5,5.0,0.0,0.0,1.0,0.0,0.0,1.0,7,Nexon,1571.4285714285713,1,0.09056761268781302,77000,1844.5,0,0,0,0,0,0,0,1,0,0
Volkswagen Vento Petrol Highline,2011,375000,49000,1,15.04,1598.0,103.6,5.0,0.0,0.0,1.0,1.0,0.0,1.0,14,Vento,3500.0,1,0.06483103879849812,686000,1558.1439999999998,0,0,0,0,0,0,0,0,0,1
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,1,14.3,1598.0,103.5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,9,Rapid,1222.2222222222222,1,0.06476846057571965,99000,1480.0500000000002,0,0,0,0,0,1,0,0,0,0
Honda City V AT,2017,875000,18000,1,15.6,1497.0,116.3,5.0,0.0,0.0,1.0,0.0,0.0,0.0,8,City,2250.0,1,0.07768871075484302,144000,1814.28,0,1,0,0,0,0,0,0,0,0
Toyota Glanza V CVT,2019,894999,9654,1,19.56,1197.0,81.8,5.0,0.0,0.0,1.0,0.0,0.0,0.0,6,Glanza,1609.0,1,0.0683375104427736,57924,1600.0079999999998,0,0,0,0,0,0,0,0,1,0
Maruti Alto K10 VXI,2011,175000,11000,1,23.95,998.0,67.05,5.0,0.0,0.0,1.0,0.0,0.0,1.0,14,Alto,785.7142857142857,1,0.06718436873747495,154000,1605.8474999999999,0,0,0,1,0,0,0,0,0,0
Maruti Swift VXI,2012,340000,24300,1,21.21,1197.0,81.8,5.0,0.0,0.0,1.0,0.0,0.0,1.0,13,Swift,1869.2307692307693,1,0.0683375104427736,315900,1734.978,0,0,0,1,0,0,0,0,0,0
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,1,21.5,1497.0,108.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7,Nexon,1142.857142857143,1,0.07247828991315965,56000,2332.75,0,0,0,0,0,0,0,1,0,0
Volkswagen Vento Diesel Highline,2011,300000,100000,2,20.54,1598.0,103.6,5.0,1.0,0.0,0.0,1.0,0.0,1.0,14,Vento,7142.857142857143,2,0.06483103879849812,1400000,2127.944,0,0,0,0,0,0,0,0,0,1
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,1,18.16,1196.0,86.8,5.0,0.0,0.0,1.0,1.0,0.0,1.0,7,Figo,1357.142857142857,1,0.0725752508361204,66500,1576.288,1,0,0,0,0,0,0,0,0,0
Ford Figo Diesel LXI,2011,160000,120000,1,20.0,1399.0,68.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,14,Figo,8571.42857142857,2,0.04860614724803431,1680000,1360.0,1,0,0,0,0,0,0,0,0,0
